"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)","Address","ddress","lat","long"
"11424",6," Eötvös utca",65,3,NA,250000,"renovated","very high",NA,NA,4,"Yes","3 or more",NA,"Yes",NA,"immediately","6 hónap","yard","No","Yes","No",NA,"can rent","1950 elott",NA,NA," Eötvös utca,6"," Eötvös utca, 6",47.44787255,19.015251211041
"11425",9," Ráday utca 19.",90,2,NA,190000,"renovated","very high",NA,1,3,"No","3 or more","No","Yes",20000,"immediately","1 év","street","No","Yes","Yes","No","street","1950 elott",NA,NA," Ráday utca 19.,9"," Ráday utca 19., 9",47.4865246,19.0636302
"11426",8," Rákóczi út",90,2,NA,250000,"renovated","high",NA,2,2,"No",NA,"No","Yes",25000,"immediately",NA,"garden",NA,"Yes","No",NA,"street",NA,NA,NA," Rákóczi út,8"," Rákóczi út, 8",47.969442,19.3508335958929
"11427",7," Hevesi Sándor tér 2.",35,1,1,130000,"renovated",NA,NA,NA,NA,NA,"3 or more",NA,"Yes",NA,"immediately","6 hónap","yard",NA,"Yes",NA,NA,NA,NA,NA,NA," Hevesi Sándor tér 2.,7"," Hevesi Sándor tér 2., 7",47.50390265,19.07262873252
"11428",5," Vörösmarty tér",42,1,NA,265000,"good","high","CC",4,6,"Yes","3 or more","No","Yes",NA,"immediately",NA,"panorama","No","Yes","Yes","No","street","1950 elott","4",NA," Vörösmarty tér,5"," Vörösmarty tér, 5",47.4970477,19.0511271
"11429",8," Józsefváros – Orczynegyed",45,2,NA,130000,"renovated","high",NA,NA,NA,NA,"less than 3",NA,"Partially",NA,"immediately","nincs","garden",NA,NA,NA,NA,"street",NA,NA,NA," Józsefváros – Orczynegyed,8"," Józsefváros – Orczynegyed, 8",NA,NA
"11430",14," Erzsébet királyné útja",62,2,1,150000,"good","average","EE",0.5,2,"No","less than 3","No","Partially",NA,"immediately","1 év","garden",NA,"No","No","No","street","1950-1980 ","6",NA," Erzsébet királyné útja,14"," Erzsébet királyné útja, 14",46.765349,17.2454713628963
"11431",6," Teréz körút",90,2,NA,190000,"good","high",NA,1,4,"Yes","3 or more",NA,"No",15000,"immediately","1 év","street",NA,"Yes","No","No","street","1950 elott",NA,NA," Teréz körút,6"," Teréz körút, 6",47.5041614,19.0643841
"11432",1," Víziváros – Váralja",143,1,NA,496500,"good",NA,NA,0.5,NA,"Yes","less than 3",NA,NA,NA,NA,NA,"yard",NA,NA,NA,NA,NA,"1981-2000 ",NA,NA," Víziváros – Váralja,1"," Víziváros – Váralja, 1",47.4931695,19.0422285
"11433",7," Madách Imre út",60,3,NA,252980,"like new",NA,"AA",6,8,"Yes","less than 3",NA,"Yes",NA,"immediately","nincs","street",NA,"Yes",NA,NA,NA,"2001-2010 ","15",NA," Madách Imre út,7"," Madách Imre út, 7",48.14372755,19.8589260239705
"11434",9," Lónyay utca 43.",31,1,NA,90000,"good","high",NA,2,6,"Yes","3 or more","No","Yes",30000,"immediately","1 év","yard","No","Yes",NA,"No","street",NA,NA,NA," Lónyay utca 43.,9"," Lónyay utca 43., 9",47.48189255,19.065234900932
"11435",14," Stefánia út 81.",79,2,1,199000,NA,"very high",NA,3,4,"Yes","less than 3","No","Partially",29000,"immediately","1 év","yard","No","Yes","Yes","No","street","2001-2010 ","6",NA," Stefánia út 81.,14"," Stefánia út 81., 14",47.50761095,19.0964243485116
"11436",11," Bicskei utca",72,2,1,220000,"like new",NA,NA,2,7,"Yes",NA,"No","Yes",NA,"immediately","1 év","yard",NA,"Yes",NA,"No",NA,"2001-2010 ",NA,NA," Bicskei utca,11"," Bicskei utca, 11",47.477295,19.0495928
"11437",2," Zöldlomb utca",115,4,NA,542100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"immediately",NA,NA,NA,NA,NA,NA,NA,NA,"16",NA," Zöldlomb utca,2"," Zöldlomb utca, 2",47.5290513,19.0177065498075
"11438",2," Zöldlomb utca",115,4,NA,542100,"good","very high",NA,1,3,NA,NA,NA,"By arrangement",NA,"immediately",NA,NA,NA,NA,"Yes",NA,"included","1981-2000 ","15",NA," Zöldlomb utca,2"," Zöldlomb utca, 2",47.5290513,19.0177065498075
"11439",7," Csányi utca 9.",30,1,NA,120000,"new","luxury","A+",2,6,"Yes","less than 3","Yes","Yes",45000,"immediately","nincs","garden","No","Yes","Yes","No","can rent","2018","6",25000," Csányi utca 9.,7"," Csányi utca 9., 7",47.5014981,19.0631354266156
"11440",9," Vágóhíd utca",37,1,NA,140000,"new","very high",NA,3,10,"Yes","less than 3","Yes","Partially",NA,"immediately","1 év","street","No","Yes","No","No","street","2020","8",NA," Vágóhíd utca,9"," Vágóhíd utca, 9",47.6180258,18.9178822
"11441",5," Kecskeméti utca 5.",40,1,NA,2e+05,"renovated","high",NA,3,4,"Yes","3 or more","Yes","Yes",NA,NA,"6 hónap",NA,NA,"Yes","No","No",NA,NA,NA,NA," Kecskeméti utca 5.,5"," Kecskeméti utca 5., 5",47.4904729,19.0594824
